href,dirname
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#document-link-new-child-element,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/organisation-standard/iati-organisations/iati-organisation/document-link/recipient-country
http://support.iatistandard.org/entries/83404469-Add-Total-Expenditure-Element-To-Organisation-File,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/organisation-standard/iati-organisations/iati-organisation/total-expenditure
http://support.iatistandard.org/entries/28497976-Retire-the-Organisation-Identifier-codelist#view-post-25368673,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/OrganisationIdentifier
http://iatistandard.org/organisation-identifiers/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/OrganisationIdentifier
http://iatistandard.org/202/codelists/OrganisationRegistrationAgency/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/IATIOrganisationIdentifier
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#iati-organisation-identifier-new-codelist,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/IATIOrganisationIdentifier
http://reference.iatistandard.org/codelists/PolicyMarker/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/PolicyMarkerVocabulary
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#policy-marker-vocabulary-new-codelist,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/PolicyMarkerVocabulary
http://reference.iatistandard.org/codelists/Sector/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/SectorVocabulary
http://reference.iatistandard.org/codelists/SectorCategory/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/SectorVocabulary
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#sector-vocabulary-new-codelist,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/SectorVocabulary
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#other-identifier-type-new-codelist,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/OtherIdentifierType
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#gazetteer-agency-amended-codes,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/GazetteerAgency
http://reference.iatistandard.org/codelists/Country/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/GeographicVocabulary
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#related-activity-type-new-code,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/RelatedActivityType
http://reference.iatistandard.org/codelists/UNSDG-Goals/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/TagVocabulary
http://reference.iatistandard.org/codelists/UNSDG-Targets/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/TagVocabulary
http://reference.iatistandard.org/codelists/Region/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/RegionVocabulary
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#document-category-new-codes,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/DocumentCategory
https://discuss.iatistandard.org/t/activitystatus-codes-mixup-of-descriptions-for-codes-3-4/304/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/ActivityStatus
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#aid-type-flag-renamed-codelist,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/CRSAddOtherFlags
http://iatistandard.org/202/codelists/IATIOrganisationIdentifier/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/OrganisationRegistrationAgency
http://iatistandard.org/codelists/IATIOrganisationIdentifier/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/OrganisationRegistrationAgency
http://iatistandard.org/202/upgrades/decimal-upgrade-to-2-02/2-02-changes/#updated-codelists,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/TransactionType
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#transaction-type-amended-codes,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/TransactionType
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes#activity-date-type-amended-codes,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/ActivityDateType
http://iatistandard.org/101/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://iatistandard.org/102/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://iatistandard.org/103/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://iatistandard.org/104/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://iatistandard.org/105/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://iatistandard.org/201/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://iatistandard.org/202/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://iatistandard.org/203/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#version-new-codelist,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/Version
http://reference.iatistandard.org/codelists/CashandVoucherModalities/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists/AidTypeVocabulary
